iter	Passed	Remaining
0	58	58775
1	59	29493
2	59	19725
3	59	14837
4	59	11912
5	60	9964
6	60	8566
7	60	7514
8	60	6696
9	61	6048
10	61	5510
11	61	5063
12	61	4690
13	61	4366
14	62	4087
15	62	3839
16	62	3624
17	62	3432
18	63	3261
19	63	3109
20	63	2968
21	63	2841
22	64	2723
23	64	2616
24	64	2518
25	64	2427
26	65	2344
27	65	2265
28	65	2193
29	65	2126
30	66	2065
31	66	2006
32	66	1949
33	66	1898
34	67	1850
35	67	1803
36	67	1759
37	67	1717
38	68	1678
39	68	1640
40	68	1604
41	68	1569
42	69	1537
43	69	1504
44	69	1475
45	69	1445
46	69	1418
47	70	1392
48	70	1367
49	70	1342
50	70	1319
51	71	1296
52	71	1274
53	71	1254
54	71	1233
55	72	1214
56	72	1196
57	72	1178
58	72	1162
59	73	1145
60	73	1129
61	74	1126
62	74	1110
63	74	1095
64	75	1080
65	75	1066
66	75	1052
67	75	1036
68	75	1023
69	76	1011
70	76	1000
71	76	987
72	76	976
73	77	964
74	77	953
75	77	943
76	77	934
77	78	923
78	78	914
79	78	905
80	79	896
81	79	888
82	79	879
83	79	870
84	80	861
85	80	854
86	80	845
87	80	837
88	81	829
89	81	822
90	81	814
91	81	807
92	81	799
93	82	792
94	82	785
95	82	778
96	82	771
97	83	766
98	83	760
99	83	753
100	83	747
101	84	739
102	84	733
103	84	728
104	84	722
105	84	716
106	85	710
107	85	705
108	85	700
109	85	695
110	86	689
111	86	684
112	86	679
113	86	675
114	87	670
115	87	665
116	87	661
117	87	656
118	88	651
119	88	647
120	88	642
121	88	637
122	88	632
123	88	628
124	89	624
125	89	619
126	89	615
127	89	611
128	90	607
129	90	604
130	90	600
131	90	596
132	91	596
133	91	593
134	92	589
135	92	586
136	92	582
137	92	578
138	92	575
139	93	571
140	93	568
141	93	564
142	93	561
143	93	558
144	94	555
145	94	552
146	94	549
147	94	546
148	95	543
149	95	540
150	95	538
151	95	535
152	96	532
153	96	529
154	96	526
155	96	523
156	96	520
157	97	517
158	97	515
159	97	512
160	97	509
161	97	506
162	98	504
163	98	501
164	98	498
165	98	496
166	99	494
167	99	491
168	99	489
169	99	487
170	100	484
171	100	482
172	100	480
173	100	478
174	100	476
175	101	473
176	101	471
177	101	469
178	101	467
179	102	465
180	102	462
181	102	460
182	102	458
183	102	456
184	103	455
185	103	453
186	103	451
187	104	449
188	104	447
189	104	445
190	104	443
191	105	441
192	105	440
193	105	438
194	105	436
195	105	434
196	106	432
197	106	430
198	106	429
199	106	427
200	107	425
201	107	423
202	107	421
203	107	420
204	107	418
205	108	417
206	108	415
207	108	414
208	108	412
209	109	410
210	109	409
211	109	407
212	109	406
213	110	404
214	110	403
215	111	403
216	111	401
217	111	400
218	111	398
219	112	397
220	112	398
221	113	396
222	113	394
223	113	393
224	113	392
225	114	390
226	114	389
227	114	387
228	114	386
229	114	384
230	115	383
231	116	384
232	116	382
233	116	381
234	116	380
235	116	378
236	117	377
237	117	375
238	117	374
239	117	373
240	118	372
241	118	370
242	118	369
243	118	368
244	119	367
245	119	365
246	119	364
247	119	363
248	120	362
249	120	360
250	120	359
251	120	358
252	121	357
253	121	356
254	121	354
255	121	353
256	122	354
257	122	352
258	122	351
259	123	350
260	123	349
261	123	348
262	123	347
263	124	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	340
269	125	339
270	125	338
271	126	337
272	126	336
273	126	335
274	126	334
275	126	333
276	127	331
277	127	331
278	127	329
279	127	328
280	128	327
281	128	326
282	128	325
283	128	324
284	129	323
285	129	322
286	129	321
287	129	320
288	129	319
289	130	318
290	130	317
291	130	316
292	130	315
293	131	314
294	131	313
295	131	312
296	131	311
297	131	310
298	132	309
299	132	308
300	132	308
301	132	307
302	133	306
303	133	305
304	133	304
305	133	303
306	134	302
307	134	301
308	134	301
309	134	300
310	135	299
311	135	298
312	135	297
313	135	296
314	136	295
315	136	294
316	136	294
317	136	293
318	136	292
319	137	291
320	137	290
321	137	289
322	137	288
323	138	288
324	138	287
325	138	286
326	138	285
327	139	285
328	139	284
329	139	283
330	139	282
331	140	281
332	140	281
333	140	280
334	140	279
335	141	278
336	141	277
337	141	277
338	141	276
339	141	275
340	142	274
341	142	274
342	142	273
343	142	272
344	143	271
345	143	270
346	143	270
347	143	269
348	143	268
349	144	267
350	144	266
351	144	266
352	144	265
353	145	264
354	145	263
355	145	263
356	145	262
357	145	261
358	146	261
359	146	260
360	146	259
361	146	258
362	147	258
363	147	257
364	147	256
365	147	256
366	148	255
367	148	254
368	148	254
369	148	253
370	149	252
371	149	252
372	149	251
373	149	250
374	150	250
375	150	249
376	150	248
377	150	247
378	150	247
379	151	246
380	151	245
381	151	245
382	151	244
383	151	243
384	152	243
385	152	242
386	152	241
387	152	240
388	152	240
389	153	239
390	153	238
391	153	238
392	153	237
393	153	236
394	154	236
395	154	235
396	154	234
397	154	234
398	155	233
399	155	232
400	155	232
401	155	231
402	155	230
403	156	230
404	156	229
405	156	229
406	157	228
407	157	228
408	157	227
409	157	227
410	158	226
411	158	226
412	158	225
413	158	224
414	159	224
415	159	223
416	159	222
417	159	222
418	159	221
419	160	221
420	160	220
421	160	220
422	160	219
423	161	219
424	161	218
425	161	217
426	161	217
427	162	216
428	162	216
