iter	Passed	Remaining
0	57	57771
1	58	28995
2	58	19407
3	58	14618
4	58	11733
5	59	9817
6	59	8452
7	59	7420
8	60	6622
9	60	5987
10	60	5461
11	61	5026
12	61	4662
13	61	4347
14	61	4068
15	62	3824
16	62	3614
17	62	3424
18	63	3254
19	63	3099
20	63	2960
21	63	2835
22	64	2749
23	64	2643
24	65	2546
25	65	2455
26	65	2370
27	66	2291
28	66	2217
29	66	2149
30	66	2087
31	67	2030
32	67	1974
33	67	1921
34	67	1873
35	68	1826
36	68	1783
37	68	1740
38	68	1699
39	69	1663
40	69	1627
41	69	1592
42	70	1559
43	70	1528
44	70	1500
45	70	1471
46	71	1443
47	71	1416
48	71	1391
49	71	1366
50	72	1343
51	72	1321
52	72	1299
53	72	1278
54	73	1258
55	73	1239
56	73	1220
57	74	1202
58	74	1183
59	74	1167
60	74	1150
61	75	1134
62	75	1119
63	75	1105
64	75	1090
65	76	1076
66	76	1062
67	76	1048
68	76	1036
69	77	1023
70	77	1011
71	77	999
72	77	987
73	78	976
74	78	966
75	78	955
76	78	944
77	79	934
78	79	924
79	79	913
80	79	903
81	79	894
82	80	884
83	80	875
84	80	866
85	80	857
86	80	849
87	81	840
88	81	832
89	81	824
90	81	817
91	82	809
92	82	803
93	82	796
94	82	789
95	83	782
96	83	776
97	83	769
98	83	763
99	84	756
100	84	750
101	84	744
102	84	738
103	85	733
104	85	727
105	85	721
106	85	716
107	85	710
108	86	704
109	86	699
110	86	693
111	86	688
112	87	683
113	87	678
114	87	673
115	87	668
116	87	663
117	88	658
118	88	654
119	88	649
120	88	645
121	88	640
122	89	636
123	89	631
124	89	627
125	89	623
126	90	619
127	90	615
128	90	612
129	90	607
130	91	604
131	91	600
132	92	601
133	92	597
134	92	594
135	92	590
136	93	586
137	93	583
138	93	579
139	93	576
140	94	573
141	94	569
142	94	566
143	94	563
144	94	559
145	95	556
146	95	553
147	95	550
148	95	547
149	96	544
150	96	541
151	96	538
152	96	535
153	96	532
154	97	530
155	97	527
156	97	524
157	97	521
158	98	519
159	98	516
160	98	513
161	98	511
162	99	508
163	99	506
164	99	503
165	99	501
166	100	499
167	100	496
168	100	494
169	100	491
170	100	489
171	101	487
172	101	484
173	101	482
174	101	480
175	102	477
176	102	475
177	102	473
178	102	471
179	102	468
180	103	466
181	103	464
182	103	462
183	103	460
184	104	458
185	104	456
186	104	454
187	104	452
188	105	450
189	105	448
190	105	447
191	105	445
192	105	443
193	106	440
194	106	438
195	106	436
196	106	435
197	107	433
198	107	431
199	107	430
200	107	428
201	108	426
202	108	424
203	108	423
204	108	421
205	108	419
206	109	418
207	109	416
208	109	415
209	109	413
210	110	412
211	110	410
212	110	408
213	110	407
214	111	405
215	111	404
216	111	402
217	111	400
218	111	399
219	112	400
220	113	398
221	113	397
222	113	395
223	113	394
224	114	392
225	114	391
226	114	390
227	114	388
228	114	387
229	115	385
230	115	384
231	115	382
232	115	381
233	116	380
234	116	378
235	116	377
236	116	376
237	116	374
238	117	373
239	117	371
240	117	370
241	117	369
242	118	367
243	118	366
244	118	365
245	118	363
246	118	362
247	119	361
248	119	359
249	119	358
250	119	357
251	119	356
252	120	354
253	120	353
254	120	352
255	120	351
256	121	350
257	121	348
258	121	347
259	121	346
260	121	345
261	122	344
262	122	343
263	122	341
264	122	340
265	123	339
266	123	338
267	123	337
268	123	336
269	124	335
270	124	334
271	124	333
272	124	332
273	124	331
274	125	330
275	125	329
276	125	327
277	125	326
278	126	325
279	126	324
280	126	323
281	126	322
282	127	321
283	127	320
284	127	319
285	127	319
286	128	318
287	128	317
288	128	316
289	128	315
290	129	314
291	129	313
292	129	312
293	129	311
294	129	310
295	130	309
296	130	308
297	130	307
298	130	306
299	131	305
300	131	304
301	131	304
302	131	303
303	132	302
304	132	301
305	132	300
306	132	299
307	133	298
308	133	298
309	133	297
310	133	296
311	133	295
312	134	294
313	134	293
314	134	292
315	134	292
316	135	291
317	135	290
318	135	289
319	135	288
320	136	287
321	136	286
322	136	285
323	136	285
324	137	286
325	137	285
326	138	284
327	138	283
328	138	282
329	138	281
330	139	280
331	139	280
332	139	279
333	139	278
334	139	277
335	140	276
336	140	275
337	140	275
338	141	275
339	141	274
340	141	273
341	141	273
342	142	272
343	142	271
344	142	270
345	142	270
346	143	269
347	143	268
348	143	267
349	143	266
350	143	265
351	144	265
352	144	264
353	144	263
354	144	262
355	144	262
356	145	261
357	145	261
358	145	260
359	146	259
360	146	258
361	146	258
362	146	257
363	147	256
364	147	256
365	147	255
366	147	254
367	148	254
368	148	253
369	148	252
370	148	252
371	148	251
372	149	250
373	149	249
374	149	249
375	149	248
376	149	247
377	150	247
378	150	246
379	150	245
380	150	245
381	151	244
382	151	243
383	151	243
384	151	242
385	151	241
386	152	241
387	152	240
388	152	239
389	152	239
390	153	238
391	153	237
392	153	237
393	153	236
394	154	236
395	154	235
396	154	234
397	154	234
398	155	233
399	155	232
400	155	232
401	155	231
402	156	231
403	156	230
404	156	229
405	156	229
406	156	228
407	157	227
408	157	227
409	157	226
410	157	226
411	158	225
412	158	225
413	158	224
414	158	223
415	159	223
416	159	222
417	159	222
418	159	221
419	160	221
420	160	220
421	160	220
422	160	219
423	161	219
424	161	218
425	161	218
426	162	217
427	162	217
428	162	216
429	163	216
430	163	215
431	163	215
432	163	214
433	164	214
434	164	213
435	164	213
436	165	212
437	165	212
438	165	212
439	166	211
440	166	211
441	167	210
442	167	210
443	167	209
444	168	209
445	168	209
446	168	208
447	168	208
448	169	207
449	169	207
450	169	206
451	170	206
452	170	205
453	170	205
454	171	205
455	171	204
456	171	204
457	172	203
458	172	203
459	173	203
460	173	202
461	173	202
462	173	201
463	174	201
464	174	200
465	174	200
466	174	199
467	175	199
468	175	198
469	175	198
470	176	197
471	176	197
472	176	196
473	176	196
474	177	195
475	177	195
476	177	194
477	177	194
478	177	193
479	178	192
480	178	192
481	178	191
482	178	191
483	179	190
484	179	190
485	179	189
486	179	189
487	179	188
488	180	188
489	180	187
490	180	187
491	180	186
492	181	186
493	181	185
494	181	185
495	181	184
496	182	184
497	182	183
498	183	184
499	183	183
500	183	183
501	184	182
502	184	182
503	184	181
504	184	181
505	185	180
506	185	180
507	185	179
508	185	179
509	185	178
510	186	178
511	186	177
512	186	177
513	186	176
514	187	176
515	187	175
516	187	175
517	188	174
518	188	174
519	188	173
520	188	173
521	188	173
522	189	172
523	189	172
524	189	171
525	189	171
526	189	170
527	190	170
528	190	169
529	190	169
530	191	168
531	191	168
532	191	167
533	191	167
534	192	166
535	192	166
536	192	165
537	192	165
538	192	165
539	193	164
540	193	164
541	193	163
542	193	163
543	194	162
544	194	162
545	194	161
546	194	161
547	195	160
548	195	160
549	195	160
550	195	159
551	196	159
552	196	158
553	196	158
554	196	157
555	196	157
556	197	156
557	197	156
558	197	155
559	197	155
560	198	155
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	199	151
568	199	151
569	200	150
570	200	150
571	200	150
572	200	149
573	201	149
574	201	148
575	201	148
576	201	147
577	202	147
578	202	147
579	202	146
580	202	146
581	203	145
582	203	145
583	203	144
584	203	144
585	204	144
586	204	143
587	204	143
588	204	142
589	205	142
590	205	142
591	205	141
592	205	141
593	206	140
594	206	140
595	206	140
596	206	139
597	207	139
598	207	138
599	207	138
600	207	137
601	207	137
602	208	137
603	208	136
604	208	136
605	208	135
606	209	135
607	209	135
608	209	134
609	209	134
610	210	133
611	210	133
612	210	132
613	210	132
614	210	132
615	211	131
616	211	131
617	211	130
618	211	130
619	212	129
620	212	129
621	212	129
622	212	128
623	212	128
624	213	127
625	213	127
626	213	127
627	213	126
628	214	126
629	214	125
630	214	125
631	214	125
632	215	124
633	215	124
634	215	123
635	215	123
636	216	123
637	216	122
638	216	122
639	216	121
640	216	121
641	217	121
642	217	120
643	217	120
644	217	119
645	218	119
646	218	119
647	218	118
648	218	118
649	219	118
650	219	117
651	219	117
652	220	116
653	220	116
654	220	116
655	220	115
656	220	115
657	221	114
658	221	114
659	221	114
660	221	113
661	222	113
662	222	113
663	222	112
664	222	112
665	222	111
666	223	111
667	223	111
668	223	110
669	223	110
670	224	109
671	224	109
672	224	109
673	224	108
674	224	108
675	225	107
676	225	107
677	225	107
678	225	106
679	226	106
680	227	106
681	227	105
682	227	105
683	227	105
684	228	104
685	228	104
686	228	104
687	228	103
688	229	103
689	229	103
690	229	102
691	229	102
692	230	101
693	230	101
694	230	101
695	230	100
696	231	100
697	231	100
698	231	99
699	231	99
700	231	98
701	232	98
702	232	98
703	232	97
704	232	97
705	233	97
706	233	96
707	233	96
708	233	95
709	234	95
710	234	95
711	234	94
712	234	94
713	235	94
714	235	93
715	235	93
716	235	93
717	235	92
718	236	92
719	236	91
720	236	91
721	236	91
722	237	90
723	237	90
724	237	90
725	237	89
726	237	89
727	238	88
728	238	88
729	238	88
730	238	87
731	239	87
732	239	87
